model,epoch,training_loss,calibration_loss
driftmamba,1,2.0082035034894945,1.6933319717645645
driftmamba,2,1.5914994180202484,1.4883166402578354
driftmamba,3,1.412628173828125,1.4737901836633682
driftmamba,4,1.2904539093375207,1.2607365399599075
driftmamba,5,1.1514332950115205,1.1818650886416435
driftmamba,6,1.0321676671504973,1.0099244564771652
driftmamba,7,0.8895725354552269,0.9311206042766571
driftmamba,8,0.8187472775578499,0.8145437315106392
driftmamba,9,0.7549152880907058,0.7898968756198883
driftmamba,10,0.7360996767878533,0.7687891125679016
driftmamba,11,0.6903522267937661,0.7413696050643921
driftmamba,12,0.6611303567886353,0.7010996043682098
transformer,1,2.110969069600105,1.6831041723489761
transformer,2,1.443796095252037,1.2431893050670624
transformer,3,1.187006026506424,1.1281684264540672
transformer,4,1.008221147954464,0.966088630259037
transformer,5,0.9093323990702629,0.8658298477530479
transformer,6,0.8117039039731025,0.8930576145648956
transformer,7,0.7628503933548927,0.7723118141293526
transformer,8,0.7206051722168922,0.7310335896909237
transformer,9,0.6690823063254356,0.6804769784212112
transformer,10,0.659412256628275,0.684880830347538
transformer,11,0.6142250753939151,0.7017726376652718
transformer,12,0.5973821327090263,0.5961382202804089
xlstm,1,1.9872558206319808,1.5250552147626877
xlstm,2,1.3249942392110825,1.1921818032860756
xlstm,3,1.1034340679645538,1.0542029216885567
xlstm,4,0.9961117967963219,1.0034014657139778
xlstm,5,0.8884866774082184,0.931255616247654
xlstm,6,0.7995830297470092,0.7869936600327492
xlstm,7,0.6911627888679505,0.7570878565311432
xlstm,8,0.6541659951210022,0.7182794958353043
xlstm,9,0.5899444963783026,0.6585801802575588
xlstm,10,0.5495480537414551,0.6674285605549812
xlstm,11,0.5236540198326111,0.6350021250545979
xlstm,12,0.4932389803230762,0.6179779507219791
